# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
257           	1.558455e-01	4.170844e-01	6.339562e-02	1.875433e-01	-1.241477e-01
258           	1.558811e-01	4.171368e-01	6.341347e-02	1.875878e-01	-1.241744e-01
259           	1.558669e-01	4.170795e-01	6.335500e-02	1.875444e-01	-1.241894e-01
260           	1.559075e-01	4.171321e-01	6.339137e-02	1.876031e-01	-1.242118e-01
261           	1.558904e-01	4.170800e-01	6.336231e-02	1.875715e-01	-1.242092e-01
262           	1.559364e-01	4.171276e-01	6.347424e-02	1.876735e-01	-1.241992e-01
263           	1.559700e-01	4.171588e-01	6.349195e-02	1.877160e-01	-1.242240e-01
264           	1.560401e-01	4.172727e-01	6.361135e-02	1.878457e-01	-1.242344e-01
265           	1.560792e-01	4.172982e-01	6.365642e-02	1.879074e-01	-1.242510e-01
266           	1.561404e-01	4.173558e-01	6.380755e-02	1.880442e-01	-1.242366e-01
267           	1.562164e-01	4.174514e-01	6.376466e-02	1.880988e-01	-1.243341e-01
268           	1.562560e-01	4.174750e-01	6.383449e-02	1.881732e-01	-1.243387e-01
269           	1.562868e-01	4.174648e-01	6.371966e-02	1.881467e-01	-1.244270e-01
270           	1.563070e-01	4.174107e-01	6.377754e-02	1.881958e-01	-1.244183e-01
271           	1.562965e-01	4.172802e-01	6.366604e-02	1.881295e-01	-1.244634e-01
272           	1.562524e-01	4.171380e-01	6.368348e-02	1.880942e-01	-1.244107e-01
273           	1.561865e-01	4.169147e-01	6.353865e-02	1.879558e-01	-1.244172e-01
274           	1.561361e-01	4.167192e-01	6.356702e-02	1.879196e-01	-1.243526e-01
275           	1.560460e-01	4.164618e-01	6.349194e-02	1.877920e-01	-1.243000e-01
276           	1.559806e-01	4.162639e-01	6.352919e-02	1.877452e-01	-1.242160e-01
277           	1.558868e-01	4.159990e-01	6.347554e-02	1.876245e-01	-1.241490e-01
278           	1.558476e-01	4.158300e-01	6.356385e-02	1.876295e-01	-1.240657e-01
279           	1.557882e-01	4.156205e-01	6.355188e-02	1.875642e-01	-1.240123e-01
280           	1.557478e-01	4.154522e-01	6.366476e-02	1.875802e-01	-1.239154e-01
281           	1.556901e-01	4.152496e-01	6.367478e-02	1.875274e-01	-1.238527e-01
